uncertainty,type,WZG,FakeLep,Top,VV,VVV,VG
lumi_18,lnN,1.015,,1.015,1.015,1.015,1.015
lumi_fullrun2,lnN,1.02,,1.02,1.02,1.02,1.02
lumi_1718,lnN,1.002,,1.002,1.002,1.002,1.002
FakeLep,lnN,,1.30,,,,
HLT_method_sys,lnN,1.01,,1.01,1.01,1.01,1.01
HLT_stat_18,lnN,1.002,,1.002,1.002,1.002,1.002
fakerate_18,shape,,1.000,,,,
jesTotal_18,shape,1.000,,1.000,1.000,1.000,1.000
jer_18,shape,1.000,,1.000,1.000,1.000,1.000
Muon_ID_Weight,shape,1.000,,1.000,1.000,1.000,1.000
Electron_ID_Weight,shape,1.000,,1.000,1.000,1.000,1.000
Electron_RECO_Weight,shape,1.000,,1.000,1.000,1.000,1.000
puWeight,shape,1.000,,1.000,1.000,1.000,1.000
WZG_scale,shape,1.000,,,,,
WZG_pdf,shape,1.000,,,,,
WZG_PSWeight_Isr,shape,1.000,,,,,
WZG_PSWeight_Fsr,shape,1.000,,,,,
Top_scale,shape,,,1.000,,,
Top_pdf,shape,,,1.000,,,
Top_PSWeight_Isr,shape,,,1.000,,,
Top_PSWeight_Fsr,shape,,,1.000,,,
VV_scale,shape,,,,1.000,,
VV_pdf,shape,,,,1.000,,
VV_PSWeight_Isr,shape,,,,1.000,,
VV_PSWeight_Fsr,shape,,,,1.000,,
VVV_scale,shape,,,,,1.000,
VVV_pdf,shape,,,,,1.000,
VVV_PSWeight_Isr,shape,,,,,1.000,
VVV_PSWeight_Fsr,shape,,,,,1.000,
VG_scale,shape,,,,,,1.000
VG_pdf,shape,,,,,,1.000
VG_PSWeight_Isr,shape,,,,,,1.000
VG_PSWeight_Fsr,shape,,,,,,1.000
btagWeight_bc_corr,shape,1.000,,1.000,1.000,1.000,1.000
btagWeight_l_corr,shape,1.000,,1.000,1.000,1.000,1.000
btagWeight_bc_uncorr_18,shape,1.000,,1.000,1.000,1.000,1.000
btagWeight_l_uncorr_18,shape,1.000,,1.000,1.000,1.000,1.000
